criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_macro_f1
gini,6.0,2,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,2,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,2,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,2,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,5,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,5,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,5,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,5,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,10,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,10,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,10,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,6.0,10,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,2,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,2,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,2,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,2,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,5,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,5,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,5,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,5,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,10,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,10,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,10,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,8.0,10,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,2,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,2,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,2,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,2,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,5,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,5,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,5,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,5,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,10,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,10,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,10,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,10.0,10,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,2,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,2,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,2,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,2,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,5,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,5,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,5,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,5,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,10,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,10,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,10,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,12.0,10,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,2,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,2,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,2,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,2,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,5,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,5,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,5,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,5,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,10,1,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,10,2,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,10,5,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,,10,10,0.003,balanced,5,10,0.7036199095022625,0.6636070590943991
gini,4.0,2,1,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,2,2,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,2,5,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,2,10,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,5,1,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,5,2,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,5,5,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,5,10,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,10,1,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,10,2,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,10,5,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
gini,4.0,10,10,0.003,balanced,4,9,0.6945701357466063,0.6548750842846811
entropy,6.0,2,2,0.0,balanced,6,48,0.6855203619909502,0.6530898697020345
entropy,6.0,2,2,0.001,balanced,6,47,0.6855203619909502,0.6530898697020345
entropy,6.0,5,1,0.0,balanced,6,49,0.6855203619909502,0.6530898697020345
entropy,6.0,5,1,0.001,balanced,6,49,0.6855203619909502,0.6530898697020345
entropy,6.0,5,2,0.0,balanced,6,48,0.6855203619909502,0.6530898697020345
entropy,6.0,5,2,0.001,balanced,6,47,0.6855203619909502,0.6530898697020345
entropy,6.0,10,1,0.0,balanced,6,46,0.6855203619909502,0.6530898697020345
entropy,6.0,10,1,0.001,balanced,6,46,0.6855203619909502,0.6530898697020345
log_loss,6.0,2,2,0.0,balanced,6,48,0.6855203619909502,0.6530898697020345
log_loss,6.0,2,2,0.001,balanced,6,47,0.6855203619909502,0.6530898697020345
log_loss,6.0,5,1,0.0,balanced,6,49,0.6855203619909502,0.6530898697020345
log_loss,6.0,5,1,0.001,balanced,6,49,0.6855203619909502,0.6530898697020345
log_loss,6.0,5,2,0.0,balanced,6,48,0.6855203619909502,0.6530898697020345
log_loss,6.0,5,2,0.001,balanced,6,47,0.6855203619909502,0.6530898697020345
log_loss,6.0,10,1,0.0,balanced,6,46,0.6855203619909502,0.6530898697020345
log_loss,6.0,10,1,0.001,balanced,6,46,0.6855203619909502,0.6530898697020345
gini,10.0,5,1,0.0,balanced,10,206,0.6923076923076923,0.6528328690471884
entropy,6.0,2,5,0.003,balanced,6,33,0.6832579185520362,0.6525463055128876
entropy,6.0,5,5,0.003,balanced,6,33,0.6832579185520362,0.6525463055128876
entropy,6.0,10,1,0.003,balanced,6,32,0.6832579185520362,0.6525463055128876
entropy,6.0,10,2,0.003,balanced,6,32,0.6832579185520362,0.6525463055128876
entropy,6.0,10,5,0.003,balanced,6,33,0.6832579185520362,0.6525463055128876
log_loss,6.0,2,5,0.003,balanced,6,33,0.6832579185520362,0.6525463055128876
log_loss,6.0,5,5,0.003,balanced,6,33,0.6832579185520362,0.6525463055128876
log_loss,6.0,10,1,0.003,balanced,6,32,0.6832579185520362,0.6525463055128876
log_loss,6.0,10,2,0.003,balanced,6,32,0.6832579185520362,0.6525463055128876
log_loss,6.0,10,5,0.003,balanced,6,33,0.6832579185520362,0.6525463055128876
entropy,10.0,2,5,0.003,balanced,10,56,0.6855203619909502,0.6520978739199156
entropy,10.0,5,5,0.003,balanced,10,56,0.6855203619909502,0.6520978739199156
entropy,10.0,10,5,0.003,balanced,10,56,0.6855203619909502,0.6520978739199156
log_loss,10.0,2,5,0.003,balanced,10,56,0.6855203619909502,0.6520978739199156
log_loss,10.0,5,5,0.003,balanced,10,56,0.6855203619909502,0.6520978739199156
log_loss,10.0,10,5,0.003,balanced,10,56,0.6855203619909502,0.6520978739199156
entropy,6.0,2,5,0.0,balanced,6,47,0.6832579185520362,0.6507836425869212
entropy,6.0,2,5,0.001,balanced,6,45,0.6832579185520362,0.6507836425869212
entropy,6.0,5,5,0.0,balanced,6,47,0.6832579185520362,0.6507836425869212
entropy,6.0,5,5,0.001,balanced,6,45,0.6832579185520362,0.6507836425869212
entropy,6.0,10,5,0.0,balanced,6,47,0.6832579185520362,0.6507836425869212
entropy,6.0,10,5,0.001,balanced,6,45,0.6832579185520362,0.6507836425869212
log_loss,6.0,2,5,0.0,balanced,6,47,0.6832579185520362,0.6507836425869212
log_loss,6.0,2,5,0.001,balanced,6,45,0.6832579185520362,0.6507836425869212
log_loss,6.0,5,5,0.0,balanced,6,47,0.6832579185520362,0.6507836425869212
log_loss,6.0,5,5,0.001,balanced,6,45,0.6832579185520362,0.6507836425869212
log_loss,6.0,10,5,0.0,balanced,6,47,0.6832579185520362,0.6507836425869212
log_loss,6.0,10,5,0.001,balanced,6,45,0.6832579185520362,0.6507836425869212
entropy,6.0,2,1,0.0,balanced,6,51,0.6832579185520362,0.6507357990259774
entropy,6.0,2,1,0.001,balanced,6,49,0.6832579185520362,0.6507357990259774
entropy,6.0,10,2,0.0,balanced,6,45,0.6832579185520362,0.6507357990259774
entropy,6.0,10,2,0.001,balanced,6,45,0.6832579185520362,0.6507357990259774
log_loss,6.0,2,1,0.0,balanced,6,51,0.6832579185520362,0.6507357990259774
log_loss,6.0,2,1,0.001,balanced,6,49,0.6832579185520362,0.6507357990259774
log_loss,6.0,10,2,0.0,balanced,6,45,0.6832579185520362,0.6507357990259774
log_loss,6.0,10,2,0.001,balanced,6,45,0.6832579185520362,0.6507357990259774
entropy,10.0,5,1,0.0,balanced,10,205,0.6877828054298643,0.6501197429906541
log_loss,10.0,5,1,0.0,balanced,10,205,0.6877828054298643,0.6501197429906541
entropy,6.0,2,1,0.003,balanced,6,35,0.6809954751131222,0.6500285859179221
entropy,6.0,2,2,0.003,balanced,6,35,0.6809954751131222,0.6500285859179221
entropy,6.0,5,1,0.003,balanced,6,35,0.6809954751131222,0.6500285859179221
entropy,6.0,5,2,0.003,balanced,6,35,0.6809954751131222,0.6500285859179221
log_loss,6.0,2,1,0.003,balanced,6,35,0.6809954751131222,0.6500285859179221
log_loss,6.0,2,2,0.003,balanced,6,35,0.6809954751131222,0.6500285859179221
log_loss,6.0,5,1,0.003,balanced,6,35,0.6809954751131222,0.6500285859179221
log_loss,6.0,5,2,0.003,balanced,6,35,0.6809954751131222,0.6500285859179221
entropy,10.0,2,2,0.001,balanced,10,168,0.6855203619909502,0.6486210633743666
log_loss,10.0,2,2,0.001,balanced,10,168,0.6855203619909502,0.6486210633743666
entropy,8.0,2,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
entropy,8.0,5,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
entropy,8.0,10,1,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
entropy,8.0,10,2,0.003,balanced,8,49,0.6764705882352942,0.6484714587537378
entropy,8.0,10,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
log_loss,8.0,2,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
log_loss,8.0,5,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
log_loss,8.0,10,1,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
log_loss,8.0,10,2,0.003,balanced,8,49,0.6764705882352942,0.6484714587537378
log_loss,8.0,10,5,0.003,balanced,8,50,0.6764705882352942,0.6484714587537378
entropy,4.0,2,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,2,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,2,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,2,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,5,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,5,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,5,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,5,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,10,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,10,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,4.0,10,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
entropy,4.0,10,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,2,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,5,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,1,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,1,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,1,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,2,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,2,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,2,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,5,0.0,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,5,0.001,balanced,4,15,0.6809954751131222,0.6483399281600181
log_loss,4.0,10,5,0.003,balanced,4,14,0.6809954751131222,0.6483399281600181
entropy,10.0,10,1,0.0,balanced,10,163,0.6855203619909502,0.6483170808618745
log_loss,10.0,10,1,0.0,balanced,10,163,0.6855203619909502,0.6483170808618745
entropy,4.0,2,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,2,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,2,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
entropy,4.0,5,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,5,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,5,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
entropy,4.0,10,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,10,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,10,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
log_loss,4.0,2,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
log_loss,4.0,2,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
log_loss,4.0,2,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
