criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_f1,val_roc_auc
entropy,6.0,2,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,2,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,2,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,5,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,5,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,5,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,10,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,10,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,10,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,2,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,2,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,2,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,5,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,5,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,5,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,10,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,10,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,10,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,2,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
entropy,6.0,5,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
entropy,6.0,10,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
log_loss,6.0,2,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
log_loss,6.0,5,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
log_loss,6.0,10,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
gini,4.0,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,10,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,10,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,10,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,10,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,10,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,10,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,10,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,10.0,10,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,10,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,12.0,10,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,10,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,,10,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
entropy,6.0,2,1,0.0,balanced,6,48,0.832579185520362,0.7465753424657534,0.8723591549295775
entropy,6.0,5,1,0.0,balanced,6,47,0.832579185520362,0.7465753424657534,0.8723591549295775
log_loss,6.0,2,1,0.0,balanced,6,48,0.832579185520362,0.7465753424657534,0.8723591549295775
log_loss,6.0,5,1,0.0,balanced,6,47,0.832579185520362,0.7465753424657534,0.8723591549295775
entropy,6.0,10,1,0.0,balanced,6,45,0.832579185520362,0.7465753424657534,0.8721596244131457
log_loss,6.0,10,1,0.0,balanced,6,45,0.832579185520362,0.7465753424657534,0.8721596244131457
entropy,6.0,2,1,0.001,balanced,6,44,0.832579185520362,0.7465753424657534,0.8720070422535212
entropy,6.0,5,1,0.001,balanced,6,43,0.832579185520362,0.7465753424657534,0.8720070422535212
log_loss,6.0,2,1,0.001,balanced,6,44,0.832579185520362,0.7465753424657534,0.8720070422535212
log_loss,6.0,5,1,0.001,balanced,6,43,0.832579185520362,0.7465753424657534,0.8720070422535212
entropy,6.0,10,1,0.001,balanced,6,41,0.832579185520362,0.7465753424657534,0.8718075117370893
log_loss,6.0,10,1,0.001,balanced,6,41,0.832579185520362,0.7465753424657534,0.8718075117370893
entropy,6.0,2,10,0.001,balanced,6,36,0.832579185520362,0.7448275862068966,0.8718779342723004
entropy,6.0,5,10,0.001,balanced,6,36,0.832579185520362,0.7448275862068966,0.8718779342723004
entropy,6.0,10,10,0.001,balanced,6,36,0.832579185520362,0.7448275862068966,0.8718779342723004
log_loss,6.0,2,10,0.001,balanced,6,36,0.832579185520362,0.7448275862068966,0.8718779342723004
log_loss,6.0,5,10,0.001,balanced,6,36,0.832579185520362,0.7448275862068966,0.8718779342723004
log_loss,6.0,10,10,0.001,balanced,6,36,0.832579185520362,0.7448275862068966,0.8718779342723004
entropy,6.0,2,10,0.0,balanced,6,42,0.832579185520362,0.7448275862068966,0.8714788732394366
entropy,6.0,5,10,0.0,balanced,6,42,0.832579185520362,0.7448275862068966,0.8714788732394366
entropy,6.0,10,10,0.0,balanced,6,42,0.832579185520362,0.7448275862068966,0.8714788732394366
log_loss,6.0,2,10,0.0,balanced,6,42,0.832579185520362,0.7448275862068966,0.8714788732394366
log_loss,6.0,5,10,0.0,balanced,6,42,0.832579185520362,0.7448275862068966,0.8714788732394366
log_loss,6.0,10,10,0.0,balanced,6,42,0.832579185520362,0.7448275862068966,0.8714788732394366
entropy,6.0,2,2,0.0,balanced,6,49,0.830316742081448,0.7440273037542662,0.8707042253521128
entropy,6.0,5,2,0.0,balanced,6,48,0.830316742081448,0.7440273037542662,0.8707042253521128
log_loss,6.0,2,2,0.0,balanced,6,49,0.830316742081448,0.7440273037542662,0.8707042253521128
log_loss,6.0,5,2,0.0,balanced,6,48,0.830316742081448,0.7440273037542662,0.8707042253521128
entropy,6.0,10,2,0.0,balanced,6,45,0.830316742081448,0.7440273037542662,0.8704812206572771
log_loss,6.0,10,2,0.0,balanced,6,45,0.830316742081448,0.7440273037542662,0.8704812206572771
entropy,6.0,2,2,0.001,balanced,6,42,0.830316742081448,0.7440273037542662,0.869917840375587
entropy,6.0,5,2,0.001,balanced,6,42,0.830316742081448,0.7440273037542662,0.869917840375587
log_loss,6.0,2,2,0.001,balanced,6,42,0.830316742081448,0.7440273037542662,0.869917840375587
log_loss,6.0,5,2,0.001,balanced,6,42,0.830316742081448,0.7440273037542662,0.869917840375587
entropy,6.0,10,2,0.001,balanced,6,40,0.830316742081448,0.7440273037542662,0.8696948356807512
log_loss,6.0,10,2,0.001,balanced,6,40,0.830316742081448,0.7440273037542662,0.8696948356807512
entropy,8.0,2,5,0.0,balanced,8,86,0.8190045248868778,0.7435897435897436,0.8698004694835682
entropy,8.0,5,5,0.0,balanced,8,86,0.8190045248868778,0.7435897435897436,0.8698004694835682
entropy,8.0,10,5,0.0,balanced,8,86,0.8190045248868778,0.7435897435897436,0.8698004694835682
log_loss,8.0,2,5,0.0,balanced,8,86,0.8190045248868778,0.7435897435897436,0.8698004694835682
log_loss,8.0,5,5,0.0,balanced,8,86,0.8190045248868778,0.7435897435897436,0.8698004694835682
log_loss,8.0,10,5,0.0,balanced,8,86,0.8190045248868778,0.7435897435897436,0.8698004694835682
entropy,4.0,2,10,0.0,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
entropy,4.0,2,10,0.001,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
entropy,4.0,5,10,0.0,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
entropy,4.0,5,10,0.001,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
entropy,4.0,10,10,0.0,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
entropy,4.0,10,10,0.001,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
log_loss,4.0,2,10,0.0,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
log_loss,4.0,2,10,0.001,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
log_loss,4.0,5,10,0.0,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
log_loss,4.0,5,10,0.001,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
log_loss,4.0,10,10,0.0,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
log_loss,4.0,10,10,0.001,balanced,4,15,0.832579185520362,0.7430555555555556,0.8745539906103286
entropy,6.0,2,5,0.001,balanced,6,39,0.8280542986425339,0.7414965986394558,0.868368544600939
entropy,6.0,5,5,0.001,balanced,6,39,0.8280542986425339,0.7414965986394558,0.868368544600939
entropy,6.0,10,5,0.001,balanced,6,39,0.8280542986425339,0.7414965986394558,0.868368544600939
log_loss,6.0,2,5,0.001,balanced,6,39,0.8280542986425339,0.7414965986394558,0.868368544600939
log_loss,6.0,5,5,0.001,balanced,6,39,0.8280542986425339,0.7414965986394558,0.868368544600939
log_loss,6.0,10,5,0.001,balanced,6,39,0.8280542986425339,0.7414965986394558,0.868368544600939
entropy,6.0,2,5,0.0,balanced,6,46,0.8280542986425339,0.7414965986394558,0.8673943661971831
entropy,6.0,5,5,0.0,balanced,6,46,0.8280542986425339,0.7414965986394558,0.8673943661971831
entropy,6.0,10,5,0.0,balanced,6,46,0.8280542986425339,0.7414965986394558,0.8673943661971831
log_loss,6.0,2,5,0.0,balanced,6,46,0.8280542986425339,0.7414965986394558,0.8673943661971831
log_loss,6.0,5,5,0.0,balanced,6,46,0.8280542986425339,0.7414965986394558,0.8673943661971831
log_loss,6.0,10,5,0.0,balanced,6,46,0.8280542986425339,0.7414965986394558,0.8673943661971831
entropy,8.0,2,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,8.0,5,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,8.0,10,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,10.0,2,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,10.0,5,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,10.0,10,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,12.0,2,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,12.0,5,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,12.0,10,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,,2,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,,5,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,,10,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,8.0,2,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,8.0,5,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,8.0,10,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,10.0,2,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,10.0,5,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,10.0,10,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,12.0,2,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,12.0,5,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,12.0,10,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,,2,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,,5,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
log_loss,,10,10,0.003,balanced,8,26,0.834841628959276,0.7402135231316725,0.8757746478873237
entropy,8.0,2,5,0.001,balanced,8,72,0.8144796380090498,0.7388535031847133,0.8730164319248825
entropy,8.0,5,5,0.001,balanced,8,72,0.8144796380090498,0.7388535031847133,0.8730164319248825
entropy,8.0,10,5,0.001,balanced,8,72,0.8144796380090498,0.7388535031847133,0.8730164319248825
log_loss,8.0,2,5,0.001,balanced,8,72,0.8144796380090498,0.7388535031847133,0.8730164319248825
log_loss,8.0,5,5,0.001,balanced,8,72,0.8144796380090498,0.7388535031847133,0.8730164319248825
log_loss,8.0,10,5,0.001,balanced,8,72,0.8144796380090498,0.7388535031847133,0.8730164319248825
entropy,4.0,2,1,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,2,1,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,2,2,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,2,2,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,2,5,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,2,5,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,5,1,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,5,1,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,5,2,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,5,2,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,5,5,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,5,5,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,10,1,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,10,1,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,10,2,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,10,2,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,10,5,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
entropy,4.0,10,5,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,2,1,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,2,1,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,2,2,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,2,2,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,2,5,0.0,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
log_loss,4.0,2,5,0.001,balanced,4,15,0.830316742081448,0.7386759581881533,0.8740727699530516
