n_estimators,max_depth,min_samples_leaf,max_features,class_weight,bootstrap,oob_score,val_accuracy,val_macro_f1,oob_score_value
300,,5,log2,balanced,True,True,0.748868778280543,0.7020788090656026,0.7629198966408268
300,20.0,5,log2,balanced,True,True,0.748868778280543,0.7008103813911436,0.7645348837209303
300,,2,0.5,balanced,True,True,0.7601809954751131,0.7001789046345382,0.770671834625323
500,,5,sqrt,balanced,True,True,0.746606334841629,0.6982909302777238,0.7674418604651163
300,,2,log2,balanced,True,True,0.7579185520361991,0.6975960174799277,0.773578811369509
300,10.0,1,0.5,balanced,True,True,0.7420814479638009,0.697101289498726,0.7590439276485789
100,,1,0.5,balanced,True,True,0.7624434389140271,0.6943866796301651,0.7613049095607235
300,,5,0.5,balanced,True,True,0.744343891402715,0.6940060038208253,0.7635658914728682
500,,5,log2,balanced,True,True,0.7420814479638009,0.6939932373014873,0.7648578811369509
300,10.0,2,sqrt,balanced,True,True,0.7398190045248869,0.6936275984584747,0.7642118863049095
100,,2,sqrt,balanced,True,True,0.7579185520361991,0.6934471418499637,0.770671834625323
500,10.0,2,sqrt,balanced,True,True,0.7420814479638009,0.693216453924788,0.7655038759689923
100,,5,sqrt,balanced,True,True,0.744343891402715,0.69297533154676,0.7613049095607235
500,,2,0.5,balanced,True,True,0.753393665158371,0.6923497329643951,0.7751937984496124
500,,2,log2,balanced,True,True,0.755656108597285,0.6923425118158159,0.771640826873385
500,20.0,5,sqrt,balanced,True,True,0.7420814479638009,0.6923223867287794,0.7684108527131783
100,,2,0.5,balanced,True,True,0.753393665158371,0.691978275022609,0.7684108527131783
500,10.0,1,sqrt,balanced,True,True,0.7420814479638009,0.6918689136266462,0.7625968992248062
500,20.0,5,log2,balanced,True,True,0.7398190045248869,0.6914519454639106,0.7667958656330749
300,20.0,1,0.5,balanced,True,True,0.7601809954751131,0.6909834355045845,0.7677648578811369
500,20.0,1,0.5,balanced,True,True,0.7601809954751131,0.6900896083831433,0.7713178294573644
300,20.0,5,0.5,balanced,True,True,0.7398190045248869,0.6897501363445636,0.7622739018087855
500,20.0,2,0.5,balanced,True,True,0.753393665158371,0.6897492559127795,0.7729328165374677
300,10.0,2,log2,balanced,True,True,0.7330316742081447,0.6890382892255551,0.7613049095607235
500,10.0,1,0.5,balanced,True,True,0.7352941176470589,0.6890056457095562,0.7606589147286822
500,20.0,2,log2,balanced,True,True,0.753393665158371,0.6888562203821316,0.7739018087855297
100,10.0,1,0.5,balanced,True,True,0.7398190045248869,0.6886696953008942,0.7583979328165374
100,20.0,5,0.5,balanced,True,True,0.7375565610859729,0.6881814208719237,0.7603359173126615
300,20.0,2,0.5,balanced,True,True,0.751131221719457,0.6871763006082942,0.770671834625323
300,10.0,2,0.5,balanced,True,True,0.7330316742081447,0.6865819775394651,0.7635658914728682
100,,5,0.5,balanced,True,True,0.7352941176470589,0.6863760562268025,0.7596899224806202
100,10.0,2,log2,balanced,True,True,0.7285067873303167,0.6862687155240347,0.7541989664082688
100,20.0,1,0.5,balanced,True,True,0.7579185520361991,0.6856992439670812,0.7635658914728682
100,20.0,2,sqrt,balanced,True,True,0.753393665158371,0.6853325982378363,0.772609819121447
100,20.0,5,sqrt,balanced,True,True,0.7398190045248869,0.6852496531758149,0.7577519379844961
100,10.0,5,0.5,balanced,True,True,0.7239819004524887,0.6850989352957324,0.7535529715762274
300,10.0,1,sqrt,balanced,True,True,0.7352941176470589,0.6843240353262106,0.7613049095607235
500,,2,sqrt,balanced,True,True,0.751131221719457,0.6838614710367553,0.7751937984496124
500,20.0,2,sqrt,balanced,True,True,0.748868778280543,0.6837230913756933,0.7742248062015504
100,10.0,5,log2,balanced,True,True,0.7285067873303167,0.6832736045721782,0.751937984496124
100,10.0,2,sqrt,balanced,True,True,0.7330316742081447,0.6832293093903002,0.7574289405684754
300,,2,sqrt,balanced,True,True,0.748868778280543,0.6829721927085011,0.7777777777777778
300,20.0,5,sqrt,balanced,True,True,0.7330316742081447,0.6827854937438212,0.7687338501291989
500,10.0,2,log2,balanced,True,True,0.7285067873303167,0.6827412416475521,0.7616279069767442
100,10.0,1,log2,balanced,True,True,0.7285067873303167,0.681907438603729,0.7532299741602068
300,10.0,5,log2,balanced,True,True,0.7262443438914027,0.6814800535652187,0.7532299741602068
300,20.0,2,sqrt,balanced,True,True,0.748868778280543,0.6814501294928341,0.7758397932816538
500,,5,0.5,balanced,True,True,0.7330316742081447,0.6812107016978111,0.7674418604651163
500,10.0,2,0.5,balanced,True,True,0.7285067873303167,0.6807241807768846,0.7619509043927648
300,20.0,2,log2,balanced,True,True,0.746606334841629,0.6805629304041106,0.7748708010335917
100,,5,log2,balanced,True,True,0.7285067873303167,0.6802302295528229,0.7655038759689923
100,20.0,5,log2,balanced,True,True,0.7307692307692307,0.6798906102749399,0.7632428940568475
300,10.0,5,sqrt,balanced,True,True,0.7217194570135747,0.6794871464412138,0.7545219638242894
500,10.0,5,log2,balanced,True,True,0.7239819004524887,0.679226772830782,0.7506459948320413
300,,1,0.5,balanced,True,True,0.748868778280543,0.678735632183908,0.7684108527131783
100,10.0,2,0.5,balanced,True,True,0.7285067873303167,0.6786361632246495,0.7541989664082688
100,20.0,2,0.5,balanced,True,True,0.7420814479638009,0.6778838689644465,0.7667958656330749
500,20.0,1,sqrt,balanced,True,True,0.7579185520361991,0.6775347258858524,0.7784237726098191
500,20.0,1,log2,balanced,True,True,0.7601809954751131,0.6774970541890695,0.7803617571059431
500,,1,0.5,balanced,True,True,0.753393665158371,0.6773926537894525,0.7667958656330749
300,,5,sqrt,balanced,True,True,0.7285067873303167,0.6772300424673032,0.7674418604651163
100,10.0,5,sqrt,balanced,True,True,0.7194570135746606,0.6766159880465965,0.7587209302325582
500,10.0,5,sqrt,balanced,True,True,0.7194570135746606,0.6764930822522445,0.7545219638242894
500,10.0,5,0.5,balanced,True,True,0.7217194570135747,0.6760905805730143,0.7606589147286822
500,,1,sqrt,balanced,True,True,0.7579185520361991,0.6759229862101314,0.7787467700258398
300,10.0,5,0.5,balanced,True,True,0.7194570135746606,0.6755440268404458,0.7603359173126615
300,10.0,1,log2,balanced,True,True,0.7239819004524887,0.6753871354554927,0.7606589147286822
100,20.0,1,log2,balanced,True,True,0.7579185520361991,0.6750511248161044,0.775516795865633
500,20.0,5,0.5,balanced,True,True,0.7262443438914027,0.6745256469314631,0.7687338501291989
300,20.0,1,sqrt,balanced,True,True,0.7601809954751131,0.673885110871712,0.7732558139534884
100,,2,log2,balanced,True,True,0.746606334841629,0.6735946749232151,0.7751937984496124
100,20.0,2,log2,balanced,True,True,0.7420814479638009,0.6729991409269771,0.771640826873385
500,10.0,1,log2,balanced,True,True,0.7239819004524887,0.6727154847994363,0.7622739018087855
100,10.0,1,sqrt,balanced,True,True,0.7194570135746606,0.6684520444244276,0.7580749354005168
300,20.0,1,log2,balanced,True,True,0.755656108597285,0.6670301208162251,0.7793927648578811
100,,1,log2,balanced,True,True,0.7601809954751131,0.6655009699291653,0.7742248062015504
100,,1,sqrt,balanced,True,True,0.748868778280543,0.6636389459018495,0.7722868217054264
500,,1,log2,balanced,True,True,0.7579185520361991,0.6623117820742964,0.7797157622739018
300,,1,sqrt,balanced,True,True,0.748868778280543,0.6620146876717591,0.7771317829457365
100,20.0,1,sqrt,balanced,True,True,0.748868778280543,0.6579131652661064,0.7661498708010336
300,,1,log2,balanced,True,True,0.755656108597285,0.6543370532600027,0.7797157622739018
